time_seconds,active_neutrons,visible_atoms,active_fragments
1,0,198400,0
2,1573,179097,1572
3,6527,122438,6526
4,9963,25638,15086
5,9999,1403,17378
6,10001,27,17596
7,10001,4,16112
8,10000,3,11274
9,10000,3,2612
10,9999,1,254
11,9999,1,28
12,9999,1,4
13,9999,1,2
14,9999,1,2
15,9999,1,0
16,9999,1,0
17,9999,1,0
